CN112593987A,一种粘结锚固型先锚式让压中空锚杆及锚固方法,2020-12-24,2021-04-02,中铁二院工程集团有限责任公司 | 成都现代万通锚固技术有限公司,李奎 | 陶伟明 | 喻渝 | 胡炜 | 谭信荣 | 龙旭 | 高泊松 | 赵万强 | 郑长青 | 王志强 | 吴航 | 徐骏 | 谭永杰 | 黎旭 | 唐思聪,实质审查
CN113931670A,一种组合式可注浆预应力大变形锚杆及其施工方法,2021-10-14,2022-01-14,中铁隧道集团二处有限公司 | 中铁隧道局集团有限公司 | 四川师范大学 | 中建八局装饰工程有限公司,郭新新 | 于家武 | 张永海 | 王睿 | 唐绍武 | 王洪鹏 | 龙文华 | 周希涛 | 侯京通 | 刘智华 | 杨鑫 | 陈国安 | 陈军 | 蒋富强 | 李佳耀 | 黎景雄 | 邓小刚 | 乔书珍 | 朱芳浩 | 赵宝锋,实质审查
CN110480834A,一种混凝土工作性快速恢复系统,2019-07-16,2019-11-22,中国铁道科学研究院集团有限公司铁道建筑研究所 | 中国铁道科学研究院集团有限公司 | 中国国家铁路集团有限公司,王家赫 | 李享涛 | 谢永江 | 仲新华 | 张良奇 | 李冠峰 | 黄鲲鹏 | 渠亚男 | 朱长华 | 苏婉玉 | 孔庆欣 | 裘智辉 | 李连吉,公开
CN111140265A,岩爆防护台车防护网以及防护台车防护架,2020-01-16,2020-05-12,中铁十六局集团有限公司 | 中铁十六局集团北京建功机械有限公司,马栋 | 吴庆红 | 王武现 | 孙毅 | 李燕松 | 闫肃 | 武彬华 | 马利 | 冯义涛 | 李永刚,实质审查 | 一案双申
CN111502675A,高地应力软弱破碎围岩大断面隧道交叉口施工的支护方法,2020-04-29,2020-08-07,中国矿业大学(北京) | 甘肃长达路业有限责任公司,陶志刚 | 乔小兵 | 王丰年 | 何满潮 | 米蒙 | 范晋琰 | 罗森林,授权
CN211598691U,岩爆防护台车防护网以及防护台车防护架,2020-01-16,2020-09-29,中铁十六局集团有限公司 | 中铁十六局集团北京建功机械有限公司,马栋 | 吴庆红 | 王武现 | 孙毅 | 李燕松 | 闫肃 | 武彬华 | 马利 | 冯义涛 | 李永刚,授权 | 一案双申
CN112610256A,一种自钻式让压中空锚杆及锚固方法,2020-12-24,2021-04-06,中铁二院工程集团有限责任公司 | 成都现代万通锚固技术有限公司,李奎 | 陶伟明 | 喻渝 | 胡炜 | 谭信荣 | 龙旭 | 高泊松 | 赵万强 | 郑长青 | 王志强 | 吴航 | 徐骏 | 谭永杰 | 黎旭 | 唐思聪,实质审查
CN112620888A,一种高寒地区Q500qENH耐候钢单面焊双面成型的工艺方法,2020-12-28,2021-04-09,中铁九桥工程有限公司 | 中铁高新工业股份有限公司,郭红艳 | 付建辉 | 陈潜 | 梁辉 | 黄旭光 | 李方敏 | 朱东明 | 王员根 | 李正兵 | 潘云龙 | 徐慰玉 | 高波 | 王磊 | 黄勇 | 刘翔 | 肖辉东 | 王中美,授权
CN111502675B,高地应力软弱破碎围岩大断面隧道交叉口施工的支护方法,2020-04-29,2021-11-26,中国矿业大学(北京) | 甘肃长达路业有限责任公司,陶志刚 | 乔小兵 | 王丰年 | 何满潮 | 米蒙 | 范晋琰 | 罗森林,授权
CN113754386A,一种抗紫外辐射混凝土及其制备方法,2021-10-26,2021-12-07,云南中建西部建设有限公司 | 中建西部建设西南有限公司 | 中建西部建设股份有限公司,兰聪 | 王军 | 张远 | 袁文韬 | 李晓欢 | 唐天明 | 刘东 | 张武宗,实质审查
