公开(公告)号,标题,申请日,公开(公告)日,当前申请(专利权)人,发明人,法律状态/事件
CN111975245A,免涂装耐候钢桥用抗拉强度650MPa级埋弧自动焊焊丝及盘条,2020-09-02,2020-11-24,燕山大学,王青峰 | 胡兵 | 赵丽洋 | 李方敏 | 杨志瀚 | 何江里,授权
CN112064652A,护坡单体、生态护坡及其装配方法,2020-09-10,2020-12-11,石家庄铁道大学,张骞 | 张子航 | 赵维刚 | 徐景涛 | 张泽雨 | 许芳,授权
CN112129619A,深部软岩质量评价方法及系统,2020-09-10,2020-12-25,武汉大学,王中伟 | 刘泉声,授权
CN110067588B,基于相变蓄冷的隧道冷风系统,2019-04-08,2021-01-12,东南大学,张国柱 | 姜国栋 | 刘松玉 | 王维 | 陈家威,授权
CN110134753B,一种基于GIS框架的深埋超长隧道岩爆风险评估方法,2019-05-21,2021-04-23,中国科学院武汉岩土力学研究所,邱士利 | 李邵军 | 匡智浩 | 王钱款 | 王金鑫,授权
CN111550267B,隧道初期支护结构及施工方法,2020-05-26,2021-04-30,中山大学 | 浩吉铁路股份有限公司,皮圣 | 梁禹 | 黄林冲,授权
CN111648806B,一种伞状结构吸能锚杆装置,2020-07-09,2021-05-14,中国科学院地质与地球物理研究所,郭松峰 | 祁生文 | 张世殊 | 马行东 | 袁国庆 | 王修华 | 郑博文 | 邹宇 | 黄晓林 | 梁宁 | 李航 | 刘宇博 | 贺建先 | 姚祥龙 | 台大平 | 罗光明,授权
CN111975245B,免涂装耐候钢桥用抗拉强度650MPa级埋弧自动焊焊丝及盘条,2020-09-02,2021-07-27,燕山大学,王青峰 | 胡兵 | 赵丽洋 | 李方敏 | 杨志瀚 | 何江里,授权
CN213916732U,一种细化焊缝晶粒的焊轨机,2020-10-26,2021-08-10,成都西点自动化设备有限公司,谭克顺 | 谭克利 | 谭克胜 | 段利华,授权
CN112129619B,深部软岩质量评价方法及系统,2020-09-10,2021-08-17,武汉大学,王中伟 | 刘泉声,授权
CN113933481A,一种冻融条件下岩石裂隙实时监测系统及方法,2021-10-14,2022-01-14,重庆大学 | 中国科学院武汉岩土力学研究所,张君岳 | 刘桓兑 | 李银平 | 王贵宾 | 马洪岭,实质审查
CN215669105U,一种深层滑坡防治结构,2021-09-02,2022-01-28,襄阳地质基础工程有限责任公司,姚志龙 | 陈刚华,授权
CN114244088A,一种内电双源牵引变流器主电路,2021-12-30,2022-03-25,中车永济电机有限公司,陈宏 | 马瑞 | 王雷 | 杨会敏 | 苑伟华 | 陈彦肖 | 王晓妮,实质审查
CN112064652B,护坡单体、生态护坡及其装配方法,2020-09-10,2022-04-22,石家庄铁道大学,张骞 | 张子航 | 赵维刚 | 徐景涛 | 张泽雨 | 许芳,授权
CN114396071A,一种挡土组件及其连接植筋锚固方法,2022-01-14,2022-04-26,中铁二院工程集团有限责任公司,陈伟志 | 叶世斌 | 王鸿 | 张建文 | 李安洪 | 吴沛沛 | 刘勇 | 蒋关鲁 | 庞应刚 | 郭在旭,公开
CN205224057U,冰水堆积物路堑边坡加固防护结构,2015-11-13,2016-05-11,中铁二院工程集团有限责任公司,姚裕春 | 吴沛沛 | 袁报,避重授权 | 一案双申
CN105297748A,冰水堆积物路堑边坡加固防护结构,2015-11-13,2016-02-03,中铁二院工程集团有限责任公司,姚裕春 | 吴沛沛 | 袁报 | 魏永幸 | 袁碧玉,授权 | 一案双申
CN108385697A,一种植物砖及铁路路基边坡绿化方法,2018-01-31,2018-08-10,四川铁创科技有限公司,周璐 | 龚建辉 | 李宁 | 刘名君 | 曾永红 | 吴沛沛 | 叶世斌 | 周成 | 李楚根 | 王开云 | 葛学军 | 孙晓 | 陈伟志 | 胡杰,驳回
CN105297748B,冰水堆积物路堑边坡加固防护结构,2015-11-13,2018-11-23,中铁二院工程集团有限责任公司,姚裕春 | 吴沛沛 | 袁报 | 魏永幸 | 袁碧玉,授权 | 一案双申
CN110542568A,轨道涡流制动性能试验装置及其试验方法,2019-09-20,2019-12-06,西南交通大学,马光同 | 李婧 | 宋旭亮 | 王一宇 | 赵正伟 | 徐帅,实质审查
CN111044256A,一种滑坡-堰塞坝-溃坝洪水灾害链演进过程模拟的试验装置及方法,2019-12-26,2020-04-21,大连理工大学,年廷凯 | 吴昊 | 赵维 | 李东阳 | 郑德凤,实质审查
CN210977490U,一种具备大扩挖能力的TBM刀盘,2019-11-22,2020-07-10,中铁工程装备集团有限公司,李建斌 | 张宁川 | 陶磊 | 金雪红 | 王建 | 杨添任,授权
CN111539150A,一种基于强度理论的裂缝扩展路径计算方法,2020-05-09,2020-08-14,大连理工大学,唐世斌 | 孙康 | 唐春安 | 李佳明 | 王嘉戌,实质审查
CN212129174U,一种适应冻胀融沉的边坡防护预制齿合锁扣块组件,2020-03-25,2020-12-11,中交第一公路勘察设计研究院有限公司 | 中铁十一局集团第二工程有限公司,王佐 | 苏卫卫 | 田敏哲 | 邹伟 | 盖卫鹏 | 刘军勇 | 尹利华,授权
CN112713595A,一种基于组合式变换器的贯通供电系统,2021-01-27,2021-04-27,西华大学,夏焰坤,实质审查 | 一案双申
CN112765392A,一种基于图像匹配的高铁列控定位方法及其系统,2021-04-08,2021-05-07,北京全路通信信号研究设计院集团有限公司,贾云光 | 姚文华 | 岳朝鹏 | 于晓泉 | 杨明 | 陈立华 | 张文汇 | 刘鸿飞 | 徐宗奇 | 曲博,授权
CN112946006A,裂隙岩心渗透注浆充填效果检测方法及系统,2021-02-04,2021-06-11,武汉大学,吴志军 | 张锶浪 | 翁磊,授权
CN112765392B,一种基于图像匹配的高铁列控定位方法及其系统,2021-04-08,2021-07-06,北京全路通信信号研究设计院集团有限公司,贾云光 | 姚文华 | 岳朝鹏 | 于晓泉 | 杨明 | 陈立华 | 张文汇 | 刘鸿飞 | 徐宗奇 | 曲博,授权
CN113494299A,一种利用NPR材料的隧道岩爆分级防治方法,2021-07-22,2021-10-12,河海大学,朱淳 | 卫云波 | 王锦国 | 李云剑 | 孟庆祥 | 乐慧琳,实质审查
CN214755528U,一种基于组合式变换器的贯通供电系统,2021-01-27,2021-11-16,西华大学,夏焰坤,授权 | 一案双申
CN112946006B,裂隙岩心渗透注浆充填效果检测方法及系统,2021-02-04,2022-02-01,武汉大学,吴志军 | 张锶浪 | 翁磊,授权
CN114033433A,一种高原高地应力隧道二衬裂缝监控施工方法,2021-11-16,2022-02-11,中铁十二局集团有限公司 | 中铁十二局集团第二工程有限公司,杨文斌 | 乔志斌 | 白国峰 | 王涛 | 李明 | 曾根龙 | 杨玉彬 | 李建军 | 刘渺 | 党绪平 | 张志民 | 张晓亮,实质审查
CN114045866A,一种基于协调变形的加筋悬臂式挡墙及其设计、施工方法,2021-11-24,2022-02-15,中铁二院工程集团有限责任公司,吴沛沛 | 周和祥 | 李安洪 | 姚裕春 | 李宁 | 周成 | 曾永红 | 龚建辉 | 付铭川 | 胡超 | 胡会星 | 葛学军 | 朱曦 | 周川滨,实质审查
CN114294063A,一种隧道围岩有害气体快速分段探测装置及方法,2021-12-30,2022-04-08,重庆大学,周小涵 | 刘新荣 | 王? | 张馨元 | 王群力 | 张吉禄 | 钟祖良,实质审查
CN110144908A,一种深层注浆加固滑坡构造及其构筑方法,2019-05-09,2019-08-20,中铁二院工程集团有限责任公司,魏永幸 | 叶世斌 | 葛学军 | 胡会星,实质审查
CN110206560A,一种适用于大变形软岩隧道的自适应复合衬砌结构,2019-05-22,2019-09-06,同济大学,乔亚飞 | 王博 | 肖颖鸣 | 赵天驰 | 丁文其 | 何满潮,实质审查 | 一案双申
CN110795852A,考虑电热耦合影响的机车端电压预估方法,2019-10-31,2020-02-14,兰州交通大学,孙立军 | 田铭兴 | 徐金阳 | 张慧英 | 王黎 | 邢东峰 | 赵珊鹏,实质审查
CN210482280U,装配式矩形桩结构,2019-07-29,2020-05-08,中铁二院工程集团有限责任公司,杨泉 | 徐骏 | 高柏松 | 郭海强 | 王占盛 | 李炼 | 陶奇 | 庞林,授权
CN210483744U,一种适用于大变形软岩隧道的自适应复合衬砌结构,2019-05-22,2020-05-08,同济大学,乔亚飞 | 王博 | 肖颖鸣 | 赵天驰 | 丁文其 | 何满潮,授权 | 一案双申
CN111187023A,一种火成岩石粉用矿物改性剂,2020-01-14,2020-05-22,中国铁道科学研究院集团有限公司铁道建筑研究所 | 中国铁道科学研究院集团有限公司 | 中国国家铁路集团有限公司 | 北京铁锋建筑工程技术有限公司,谢永江 | 谭盐宾 | 李康 | 冯仲伟 | 李林香 | 杨鲁 | 葛昕 | 王浩 | 王琳 | 谢亮 | 胡凡 | 齐婧 | 饶云兵,公开
CN111188620A,一种高地温隧道岩爆防治装置,2020-01-13,2020-05-22,西南交通大学,严健 | 何川 | 汪波 | 董唯杰 | 徐国文,授权
CN111980711A,一种新型结构竖井钻机,2020-09-07,2020-11-24,中煤特殊凿井有限责任公司 | 中煤第三建设(集团)有限责任公司,亓燕秋 | 刘伟军 | 王宗金 | 杨光 | 赵伟峰 | 付新鹏 | 晏中俊 | 李新利,实质审查 | 一案双申
CN212296364U,一种新型结构竖井钻机,2020-09-07,2021-01-05,中煤特殊凿井有限责任公司 | 中煤第三建设(集团)有限责任公司,亓燕秋 | 刘伟军 | 王宗金 | 杨光 | 赵伟峰 | 付新鹏 | 晏中俊 | 李新利,授权 | 一案双申
CN212358520U,一种适应冻融变形的边坡排水预制仿生构件,2020-03-25,2021-01-15,中交第一公路勘察设计研究院有限公司 | 中交二公局第四工程有限公司,王佐 | 苏卫卫 | 黄建忠 | 刘军勇 | 尹利华 | 盖卫鹏 | 沈鹏,授权
CN112756746A,一种高寒地区Q500qENH耐候钢复合对接焊的工艺方法,2020-12-28,2021-05-07,中铁九桥工程有限公司 | 中铁高新工业股份有限公司,陈潜 | 郭红艳 | 潘云龙 | 付建辉 | 王磊 | 王中美 | 王员根 | 李方敏 | 朱东明 | 向华 | 徐慰玉 | 高波 | 黄勇 | 黄旭光 | 王明 | 刘翔 | 肖辉东,授权
CN111188620B,一种高地温隧道岩爆防治装置,2020-01-13,2021-05-28,西南交通大学,严健 | 何川 | 汪波 | 董唯杰 | 徐国文,授权
CN112959513A,混凝土隧洞内智能化自适应拌合系统及方法,2021-01-29,2021-06-15,清华大学 | 重庆交通大学 | 华能西藏雅鲁藏布江水电开发投资有限公司 | 华能集团技术创新中心有限公司,安雪晖 | 周力 | 李鹏飞 | 刘微 | 杜三林 | 杨传根,实质审查
CN113153423A,高寒地区隧道大型重力辅助环路热管防冻系统及其方法,2021-04-19,2021-07-23,西南交通大学,袁艳平 | 钟巍 | 周锦志 | 张楠 | 张雨婷 | 闵皖东,实质审查
CN214035718U,一种自钻式让压中空锚杆,2020-12-24,2021-08-24,中铁二院工程集团有限责任公司 | 成都现代万通锚固技术有限公司,李奎 | 陶伟明 | 喻渝 | 胡炜 | 谭信荣 | 龙旭 | 高泊松 | 赵万强 | 郑长青 | 王志强 | 吴航 | 徐骏 | 谭永杰 | 黎旭 | 唐思聪,授权
CN113323672A,硬岩大跨度隧道大型机械化钻爆开挖快速施工方法,2021-06-30,2021-08-31,中铁十局集团有限公司 | 中铁十局集团城市轨道交通工程有限公司,白建军 | 刘顿 | 刘祎 | 刘伟 | 张奇 | 唐伟伟 | 郭新平 | 陈雷 | 贾兴文,实质审查
CN113944096A,一种轻质仰拱栈桥及其车辆通行控制方法,2021-10-28,2022-01-18,中铁二十局集团有限公司,李金魁 | 任少强 | 张欢 | 吴应明 | 王平安 | 贺显林 | 罗宗帆 | 杨星智 | 刘超 | 吕富兴 | 李校珂 | 董博,实质审查
CN114112466A,一种用于模拟隧道掘进机掘进状态的实验平台,2021-11-24,2022-03-01,盾构及掘进技术国家重点实验室 | 中铁隧道局集团有限公司,韩伟锋 | 李凤远 | 曾垂刚 | 周建军 | 任颖莹 | 郭璐 | 王雅文 | 陈瑞祥 | 高会中 | 王凯,实质审查
CN112756746B,一种高寒地区Q500qENH耐候钢复合对接焊的工艺方法,2020-12-28,2022-04-19,中铁九桥工程有限公司 | 中铁高新工业股份有限公司,陈潜 | 郭红艳 | 潘云龙 | 付建辉 | 王磊 | 王中美 | 王员根 | 李方敏 | 朱东明 | 向华 | 徐慰玉 | 高波 | 黄勇 | 黄旭光 | 王明 | 刘翔 | 肖辉东,授权
CN114412408A,一种水平绳索取心用钻孔内涌水阻隔装置,2022-01-06,2022-04-29,中国地质科学院探矿工艺研究所,吴金生 | 罗显粱 | 王久全 | 张继东 | 黄晓林,公开
CN206467640U,水平梁式格栅型肋槛泥石流排导装置,2017-02-16,2017-09-05,中国科学院、水利部成都山地灾害与环境研究所,游勇 | 孙昊 | 柳金峰 | 杨东旭 | 刘道川,未缴年费
CN205417236U,一种电气化铁路牵引供电加强构造,2015-11-24,2016-08-03,西南交通大学,李群湛 | 解绍锋 | 郭锴 | 贺建闽,授权
CN110748358A,一种寒区隧道洞口双面保温系统,2019-08-27,2020-02-04,西南交通大学,严健 | 何川 | 晏启祥 | 徐国文 | 蒙伟 | 张钧博 | 马杲宇,实质审查
CN111138106A,一种铁路高性能混凝土用火成岩质矿物掺和料,2020-01-15,2020-05-12,中国铁道科学研究院集团有限公司铁道建筑研究所 | 中国铁道科学研究院集团有限公司 | 中国国家铁路集团有限公司 | 北京铁锋建筑工程技术有限公司,谢永江 | 谭盐宾 | 李康 | 冯仲伟 | 李林香 | 杨鲁 | 葛昕 | 王浩 | 王琳 | 谢亮 | 胡凡 | 齐婧 | 饶云兵,公开
CN111156050A,一种隧道防护台车,2020-01-16,2020-05-15,中铁十六局集团有限公司 | 中铁十六局集团北京建功机械有限公司,马栋 | 吴庆红 | 王武现 | 孙毅 | 李燕松 | 向大强 | 马利 | 闫肃 | 武彬华 | 冯义涛 | 李永刚,实质审查 | 一案双申
CN111188630A,一种取热吸能让压隧道结构,2020-01-14,2020-05-22,西南交通大学 | 陕西祐通材料有限公司,严健 | 何川 | 董唯杰 | 汪波 | 徐国文,授权 | 权利转移
CN111236036A,活动断裂带有砟轨道铁路桥梁结构、构造方法和修复方法,2020-03-12,2020-06-05,中铁二院工程集团有限责任公司,姚裕春 | 张耀 | 程云 | 刘洋 | 高继涛,实质审查
CN111504780A,黏结裂纹模型中的岩石软化曲线确定方法及装置,2020-04-07,2020-08-07,武汉大学,王中伟 | 刘泉声,授权
CN211623487U,一种隧道防护台车,2020-01-16,2020-10-02,中铁十六局集团有限公司 | 中铁十六局集团北京建功机械有限公司,马栋 | 吴庆红 | 王武现 | 孙毅 | 李燕松 | 向大强 | 马利 | 闫肃 | 武彬华 | 冯义涛 | 李永刚,授权 | 一案双申
CN111806235A,一种车地一体多功能应急储能供电系统及其控制方法,2020-07-22,2020-10-23,西南交通大学 | 中车株洲电力机车有限公司,戴朝华 | 李密 | 柳晓峰 | 李涛,实质审查
CN112096413A,一种适用于高地温隧道的隔热降温系统及其实现方法,2020-09-22,2020-12-18,中铁二院工程集团有限责任公司,陶伟明 | 郑长青 | 曹彧 | 曾勤 | 范雲鹤 | 匡亮 | 张志强 | 余刚 | 华阳 | 粟威 | 吴林 | 刘金松 | 黎旭 | 唐思聪 | 陈彬科,实质审查
CN112142359A,一种干、湿喷混凝土两用型粉状无碱速凝剂及其制备和使用方法,2020-09-25,2020-12-29,福泉凯威特新材料有限公司 | 云南凯威特新材料股份有限公司,刘玮 | 陈家荣 | 王庄 | 陈星蓉 | 白进利 | 吴现叶,实质审查
CN111188630B,一种取热吸能让压隧道结构,2020-01-14,2021-01-29,西南交通大学 | 陕西祐通材料有限公司,严健 | 何川 | 董唯杰 | 汪波 | 徐国文,授权 | 权利转移
CN111504780B,黏结裂纹模型中的岩石软化曲线确定方法及装置,2020-04-07,2021-02-02,武汉大学,王中伟 | 刘泉声,授权
CN112593987A,一种粘结锚固型先锚式让压中空锚杆及锚固方法,2020-12-24,2021-04-02,中铁二院工程集团有限责任公司 | 成都现代万通锚固技术有限公司,李奎 | 陶伟明 | 喻渝 | 胡炜 | 谭信荣 | 龙旭 | 高泊松 | 赵万强 | 郑长青 | 王志强 | 吴航 | 徐骏 | 谭永杰 | 黎旭 | 唐思聪,实质审查
CN112627002A,一种适用于隧道穿越巨型溶洞的连续梁桥及其施工技术方法,2020-12-17,2021-04-09,中铁十四局集团建筑工程有限公司,冯国森 | 于明洋 | 孙亚飞 | 王孝波 | 王伟伟,实质审查
CN113153195A,一种用于高地应力环境取心装置的压力调节系统及方法,2021-01-04,2021-07-23,成都理工大学,郑明明 | 王凯 | 王晓宇 | 韦猛 | 张广泽 | 冯涛 | 徐正宣 | 王栋,实质审查
CN113187422A,一种高地应力环境钻进中可拆卸式保应力岩心容纳装置,2021-01-04,2021-07-30,成都理工大学,郑明明 | 王晓宇 | 王凯 | 韦猛 | 张广泽 | 冯涛 | 徐正宣 | 王栋,实质审查
CN113567497A,一种模拟冰缘型冻土边坡变形破坏的试验装置及试验方法,2021-07-27,2021-10-29,中国地质大学(武汉),孙思璇 | 唐辉明 | 安鹏举 | 于博帆 | 张永权 | 苏雪雪 | 唐春燕 | 方堃,实质审查
CN113740223A,一种用于工业CT扫描的岩土体温度-渗流耦合装置,2021-08-13,2021-12-03,昆明理工大学,张家明 | 陈茂 | 龙郧铠 | 邱培城,实质审查
CN113931670A,一种组合式可注浆预应力大变形锚杆及其施工方法,2021-10-14,2022-01-14,中铁隧道集团二处有限公司 | 中铁隧道局集团有限公司 | 四川师范大学 | 中建八局装饰工程有限公司,郭新新 | 于家武 | 张永海 | 王睿 | 唐绍武 | 王洪鹏 | 龙文华 | 周希涛 | 侯京通 | 刘智华 | 杨鑫 | 陈国安 | 陈军 | 蒋富强 | 李佳耀 | 黎景雄 | 邓小刚 | 乔书珍 | 朱芳浩 | 赵宝锋,实质审查
CN114381634A,具有双球壳结构析出相耐热铝锆合金电缆材料及其制备方法,2021-12-11,2022-04-22,江西理工大学,张嘉艺 | 陈梓欣 | 陈继强,实质审查
CN108490485A,双线隧道微震监测系统及其定位精度评估方法,2018-06-20,2018-09-04,成都理工大学,马春驰 | 李天斌 | 张航 | 韩瑀萱 | 周雄华 | 高美奔,实质审查
CN109687721A,三相10kV转单相27.5kV检修用机车电源装置,2018-12-24,2019-04-26,珠海万力达电气自动化有限公司,姚鹏 | 朱志伟 | 汝萍 | 李波 | 邵海 | 范强军 | 林子超 | 邓志浩 | 邓科 | 林林 | 何奇瑞 | 黄涛,授权
CN110080817A,基于相变蓄冷的隧道通风降温系统,2019-04-08,2019-08-02,东南大学,张国柱 | 陈家威 | 刘松玉 | 王维 | 姜国栋,授权
CN110480834A,一种混凝土工作性快速恢复系统,2019-07-16,2019-11-22,中国铁道科学研究院集团有限公司铁道建筑研究所 | 中国铁道科学研究院集团有限公司 | 中国国家铁路集团有限公司,王家赫 | 李享涛 | 谢永江 | 仲新华 | 张良奇 | 李冠峰 | 黄鲲鹏 | 渠亚男 | 朱长华 | 苏婉玉 | 孔庆欣 | 裘智辉 | 李连吉,公开
CN209703297U,箱梁巡检机器人,2019-01-16,2019-11-29,武汉瑞敏检测科技有限公司,吕伟 | 胡旭东 | 潘万齐 | 李伟龙,授权
CN111140265A,岩爆防护台车防护网以及防护台车防护架,2020-01-16,2020-05-12,中铁十六局集团有限公司 | 中铁十六局集团北京建功机械有限公司,马栋 | 吴庆红 | 王武现 | 孙毅 | 李燕松 | 闫肃 | 武彬华 | 马利 | 冯义涛 | 李永刚,实质审查 | 一案双申
CN111254954A,一种具有抗震排水功能的抗滑桩组件及其施工方法,2020-03-24,2020-06-09,中铁二院工程集团有限责任公司,张东卿 | 薛元 | 张建文 | 刘菀茹 | 肖朝乾 | 周波 | 周文洋 | 张硕 | 张涛 | 姜瑞雪 | 邱永平,实质审查
CN111378898A,一种500MPa免涂装耐候钢及其制造方法,2020-04-23,2020-07-07,湖南华菱涟源钢铁有限公司,余强 | 董常福 | 周剑丰 | 汪宏兵 | 肖爱达 | 梁亮 | 郑庆 | 李光辉,实质审查
CN111502675A,高地应力软弱破碎围岩大断面隧道交叉口施工的支护方法,2020-04-29,2020-08-07,中国矿业大学(北京) | 甘肃长达路业有限责任公司,陶志刚 | 乔小兵 | 王丰年 | 何满潮 | 米蒙 | 范晋琰 | 罗森林,授权
CN211205704U,一种滑坡-堰塞坝-溃坝洪水灾害链演进过程模拟装置,2019-12-26,2020-08-07,大连理工大学,年廷凯 | 吴昊 | 赵维 | 李东阳 | 郑德凤,授权
CN211453618U,用于模拟地下岩石激光掘进的实验装置,2020-01-15,2020-09-08,湖南科技大学,袁越 | 尚玺 | 秦坚 | 朱永建 | 王卫军,授权
CN211598691U,岩爆防护台车防护网以及防护台车防护架,2020-01-16,2020-09-29,中铁十六局集团有限公司 | 中铁十六局集团北京建功机械有限公司,马栋 | 吴庆红 | 王武现 | 孙毅 | 李燕松 | 闫肃 | 武彬华 | 马利 | 冯义涛 | 李永刚,授权 | 一案双申
CN111794732A,一种断层破碎带软岩地应力估算方法,2020-05-22,2020-10-20,中国科学院武汉岩土力学研究所,陈卫忠 | 李喆 | 田洪铭 | 张广泽 | 王栋 | 杨建平 | 田云,授权
CN111879608A,基于声发射事件发生率的岩石长期强度的定性测试方法,2020-06-05,2020-11-03,山东黄金矿业科技有限公司深井开采实验室分公司,侯奎奎 | 王剑波 | 胡忠强 | 程力 | 刘焕新 | 朱明德 | 张皓钦,撤回
CN112129618A,软岩三轴强度评估方法及系统,2020-09-10,2020-12-25,武汉大学,王中伟 | 刘泉声 | 王宇轩,授权
CN212296401U,一种跨越活动断裂带抗错动的隧道复合式衬砌结构,2020-04-05,2021-01-05,中铁二院工程集团有限责任公司,陈锡武 | 殷召念 | 黄华 | 郑伟 | 王若晨 | 朱勇 | 邸成 | 姜波 | 张磊 | 熊国兴 | 卿伟宸 | 吴华 | 朱宏 | 范磊 | 曾宏飞,授权
CN110080817B,基于相变蓄冷的隧道通风降温系统,2019-04-08,2021-01-12,东南大学,张国柱 | 陈家威 | 刘松玉 | 王维 | 姜国栋,授权
CN112239831A,高韧高寒铁路钢轨及其生产方法,2020-10-19,2021-01-19,攀钢集团攀枝花钢铁研究院有限公司,袁俊 | 邹明 | 邓勇 | 杨大巍,实质审查
CN212389344U,硬岩悬臂掘进机,2020-04-24,2021-01-22,中铁工程装备集团隧道设备制造有限公司,田野 | 胡森旭,授权
CN112324459A,一种适用于穿越断层及软岩大变形区段的让压衬砌结构,2020-10-29,2021-02-05,成都理工大学,信春雷 | 郑清 | 李先明 | 文浩宇 | 周鹏发,实质审查
CN112610256A,一种自钻式让压中空锚杆及锚固方法,2020-12-24,2021-04-06,中铁二院工程集团有限责任公司 | 成都现代万通锚固技术有限公司,李奎 | 陶伟明 | 喻渝 | 胡炜 | 谭信荣 | 龙旭 | 高泊松 | 赵万强 | 郑长青 | 王志强 | 吴航 | 徐骏 | 谭永杰 | 黎旭 | 唐思聪,实质审查
CN112620888A,一种高寒地区Q500qENH耐候钢单面焊双面成型的工艺方法,2020-12-28,2021-04-09,中铁九桥工程有限公司 | 中铁高新工业股份有限公司,郭红艳 | 付建辉 | 陈潜 | 梁辉 | 黄旭光 | 李方敏 | 朱东明 | 王员根 | 李正兵 | 潘云龙 | 徐慰玉 | 高波 | 王磊 | 黄勇 | 刘翔 | 肖辉东 | 王中美,授权
CN109687721B,三相10kV转单相27.5kV检修用机车电源装置,2018-12-24,2021-07-20,珠海万力达电气自动化有限公司,姚鹏 | 朱志伟 | 汝萍 | 李波 | 邵海 | 范强军 | 林子超 | 邓志浩 | 邓科 | 林林 | 何奇瑞 | 黄涛,授权
CN113339873A,一种寒区高地温隧道新型防寒抗冻系统及方法,2021-06-07,2021-09-03,西南交通大学,曾艳华 | 周小涵 | 任小川 | 陶亮亮 | 李杰 | 严晓楠,实质审查
CN112129618B,软岩三轴强度评估方法及系统,2020-09-10,2021-11-16,武汉大学,王中伟 | 刘泉声 | 王宇轩,授权
CN113671151A,一种冰碛土聚冰演化过程室内模型试验系统,2021-07-27,2021-11-19,西安科技大学,申艳军 | 魏欣 | 李雪婷 | 张蕾,实质审查
CN111502675B,高地应力软弱破碎围岩大断面隧道交叉口施工的支护方法,2020-04-29,2021-11-26,中国矿业大学(北京) | 甘肃长达路业有限责任公司,陶志刚 | 乔小兵 | 王丰年 | 何满潮 | 米蒙 | 范晋琰 | 罗森林,授权
CN113754386A,一种抗紫外辐射混凝土及其制备方法,2021-10-26,2021-12-07,云南中建西部建设有限公司 | 中建西部建设西南有限公司 | 中建西部建设股份有限公司,兰聪 | 王军 | 张远 | 袁文韬 | 李晓欢 | 唐天明 | 刘东 | 张武宗,实质审查
CN111794732B,一种断层破碎带软岩地应力估算方法,2020-05-22,2022-01-28,中国科学院武汉岩土力学研究所,陈卫忠 | 李喆 | 田洪铭 | 张广泽 | 王栋 | 杨建平 | 田云,授权
CN114137160A,一种隧道开挖扰动下围岩有害气体的运移实验装置及其方法,2021-11-23,2022-03-04,重庆大学,刘新荣 | 王? | 周小涵 | 张馨元 | 张吉禄,实质审查
CN216197950U,一种适用于大口径水平工程地质勘探的绳索取心钻具,2021-10-25,2022-04-05,武汉金瑞威基础工程有限公司,李永育 | 吴跃钢 | 孙国存,授权
CN216203975U,一种隧道施工用加湿降温风机,2021-11-11,2022-04-05,洛阳市高林隧道环境控制技术有限公司,陆懋成 | 奂炯睿 | 范鹏 | 贾冬 | 陆立鸥 | 车永斌,授权
CN112620888B,一种高寒地区Q500qENH耐候钢单面焊双面成型的工艺方法,2020-12-28,2022-04-19,中铁九桥工程有限公司 | 中铁高新工业股份有限公司,郭红艳 | 付建辉 | 陈潜 | 梁辉 | 黄旭光 | 李方敏 | 朱东明 | 王员根 | 李正兵 | 潘云龙 | 徐慰玉 | 高波 | 王磊 | 黄勇 | 刘翔 | 肖辉东 | 王中美,授权
CN109667622A,隧道围岩长期变形灾害控制系统及控制方法,2018-11-22,2019-04-23,中国电建集团成都勘测设计研究院有限公司,陈炜韬 | 张子晗 | 唐辉,授权
CN110173273A,一种硬岩双层自平衡伸缩截割臂及悬臂掘进机,2019-05-27,2019-08-27,中铁工程装备集团隧道设备制造有限公司,崔学普 | 张征 | 李宬曦 | 史业波,实质审查 | 一案双申
CN209780913U,一种铁路隧道长效性支护系统,2019-02-13,2019-12-13,中国铁道科学研究院集团有限公司铁道建筑研究所 | 中国铁道科学研究院集团有限公司 | 中国铁路经济规划研究院有限公司 | 中铁第一勘察设计院集团有限公司 | 中国中铁二院工程集团有限责任公司,韩自力 | 叶阳升 | 马伟斌 | 林传年 | 黄双林 | 刘名君 | 刘国庆 | 谭永杰 | 张松琦 | 付兵先 | 马荣田 | 邹文浩 | 郭小雄 | 李尧 | 王志伟 | 杜晓燕 | 安哲立 | 赵鹏 | 马超锋 | 牛亚彬 | 柴金飞 | 程爱君,授权
CN209891218U,大能力阻滑体系,2019-03-14,2020-01-03,中铁二院工程集团有限责任公司,杨泉 | 徐骏 | 郭海强 | 李安洪 | 魏永幸 | 高柏松 | 王占盛 | 李炼 | 肖飞知,授权
CN210370654U,一种硬岩双层自平衡伸缩截割臂及悬臂掘进机,2019-05-27,2020-04-21,中铁工程装备集团隧道设备制造有限公司,崔学普 | 张征 | 李宬曦 | 史业波,授权 | 一案双申
CN111116844A,一种引气型聚羧酸减水剂及其制备方法,2020-01-18,2020-05-08,广东汇强外加剂有限公司,林炎坤,授权
CN111173467A,一种适用于大口径地质钻探的绳索取心钻具,2020-03-03,2020-05-19,湖南科技大学,王佳亮 | 彭奋飞 | 万步炎,实质审查 | 一案双申
CN109667622B,隧道围岩长期变形灾害控制系统及控制方法,2018-11-22,2020-05-19,中国电建集团成都勘测设计研究院有限公司,陈炜韬 | 张子晗 | 唐辉,授权
